"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "JSON", "HTML", "SVG", "comment", "blank", "total"
"d:\Web\tiara-andi-wedding-invitation\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Web\tiara-andi-wedding-invitation\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"d:\Web\tiara-andi-wedding-invitation\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\Web\tiara-andi-wedding-invitation\package-lock.json", "JSON", 0, 0, 0, 0, 14236, 0, 0, 0, 1, 14237
"d:\Web\tiara-andi-wedding-invitation\package.json", "JSON", 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"d:\Web\tiara-andi-wedding-invitation\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Web\tiara-andi-wedding-invitation\src\App.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"d:\Web\tiara-andi-wedding-invitation\src\assets\bismillah.svg", "SVG", 0, 0, 0, 0, 0, 0, 1041, 1, 1, 1043
"d:\Web\tiara-andi-wedding-invitation\src\components\AyatSuci.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Web\tiara-andi-wedding-invitation\src\components\Backsound.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"d:\Web\tiara-andi-wedding-invitation\src\components\Detail.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"d:\Web\tiara-andi-wedding-invitation\src\components\Hero.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 4, 61
"d:\Web\tiara-andi-wedding-invitation\src\components\Mempelai.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 4, 6, 83
"d:\Web\tiara-andi-wedding-invitation\src\components\Timer.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 11, 65
"d:\Web\tiara-andi-wedding-invitation\src\index.css", "PostCSS", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"d:\Web\tiara-andi-wedding-invitation\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Web\tiara-andi-wedding-invitation\src\pages\Inviting.jsx", "JavaScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 6, 111
"d:\Web\tiara-andi-wedding-invitation\tailwind.config.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 1, 6, 48
"d:\Web\tiara-andi-wedding-invitation\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 73, 420, 11, 5, 14268, 13, 1041, 7, 71, 15909
