"filename", "language", "JavaScript JSX", "SVG", "Markdown", "comment", "blank", "total"
"d:\Web\tiara-andi-wedding-invitation\README.md", "Markdown", 0, 0, 3, 0, -1, 2
"d:\Web\tiara-andi-wedding-invitation\src\App.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 2
"d:\Web\tiara-andi-wedding-invitation\src\assets\couple.svg", "SVG", 0, 3, 0, 0, 1, 4
"d:\Web\tiara-andi-wedding-invitation\src\assets\love.svg", "SVG", 0, 3, 0, 0, 1, 4
"d:\Web\tiara-andi-wedding-invitation\src\components\AyatSuci.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1
"d:\Web\tiara-andi-wedding-invitation\src\components\Backsound.jsx", "JavaScript JSX", 14, 0, 0, 0, 4, 18
"d:\Web\tiara-andi-wedding-invitation\src\components\Detail.jsx", "JavaScript JSX", 111, 0, 0, 2, 3, 116
"d:\Web\tiara-andi-wedding-invitation\src\components\Footer.jsx", "JavaScript JSX", 49, 0, 0, 1, 5, 55
"d:\Web\tiara-andi-wedding-invitation\src\components\Hero.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 14
"d:\Web\tiara-andi-wedding-invitation\src\components\Mempelai.jsx", "JavaScript JSX", 10, 0, 0, -2, 0, 8
"Total", "-", 201, 6, 3, 1, 13, 224
